ID;AUTHORS;CATEGORY;TITLE
69;Francisco Garcia Navarro, Antonio Lopez Villamar, Srinivasan, Perry, Das, Wu. ;Poster ;Exploring Large RDF Datasets using a Faceted Search
70;Heyvaert, Dimou, Verborgh, Mannens, Van de Walle. ;Poster ;Towards Approaches for Generating RDF Mapping Definitions
71;Fafalios, Tzitzikas. ;Demo ;SPARQL-LD: A SPARQL Extension for Fetching and Querying Linked Data
72;Di Iorio, Nuzzolese, Osborne, Peroni, Poggi, Smith, Vitali, Zhao. ;Demo ;The RASH Framework: enabling HTML+RDF submissions in scholarly venues
74;Debattista, Lange, Auer. ;Demo ;Luzzu -- A Framework for Linked Data Quality Assessment
75;Achichi, Bailly, Cecconi, Destandau, Todorov, Troncy. ;Poster ;DOREMUS: Doing Reusable Musical Data
76;Daga, D'Aquin, Gangemi, Motta. ;Demo ;Bottom-Up Ontology Construction with Contento
77;Mouromtsev, Pavlov, Emelyanov, Morozov, Razdyakonov, Galkin. ;Demo ;The simple, web-based tool for visualization and sharing of semantic data and ontologies
78;Wood. ;Poster ;Semantic Composition of Disparate Data in GeoHealthUS for Navigation, Display and Analysis
79;Troullinou, Kondylakis, Daskalaki, Plexousakis. ;Demo ;RDF Digest: Ontology Exploration Using Summaries
80;Aggarwal, Asooja, Jha, Buitelaar. ;Poster ;Top-N Books Recommendation Using Wikipedia
81;Aggarwal, Mika, Blanco, Buitelaar. ;Poster ;Leveraging Wikipedia Knowledge for Entity Recommendations
82;Aggarwal, Barker, Welty. ;Poster ;Medical Concept Resolution
83;Ferguson, Vardeman.;Poster ;Relative Relationship ODP: Scaling Case
84;Koutraki, Vodislav, Preda. ;Demo ;DORIS: Discovering Ontological Relations In Services
85;Gentile, Nuzzolese. ;Poster ;cLODg - Conference Linked Open Data Generator
86;Sana E Zainab, Saleem, Mehmood, Zehra, Decker, Hasnain. ;Demo ;SPARQL Query Formulation and Execution using FedViz
87;Song, Schilder, Smiley, Brew, Zielund, Bretz, Martin, Dale, Pomerville, Duprey, Miller, Harrison. ;Demo ;TR Discover: A Natural Language Question Answering System for Interlinked Datasets
88;Szekely, Knoblock, Slepicka, Yin, Philpot, Singh, Kapoor, Natarajan, Marcu, Knight, Stallard, Karunamoorthy, Bojanapalli, Minton, Amanatullah, Hughes, Tamayo, Flynt, Artiss, Chang, Chen, Hiebel, Ferreira. ;Demo ;Demonstration Paper: Using a Knowledge Graph to Combat Human Trafficking
89;Huo, Nabrzyski, Vardeman. ;Poster ;Smart Container: an ontology towards conceptualizing Docker
91;Seyed, Patton, Subotin. ;Poster ;Crowdsourcing for ICD10 Code to Concept Relationships
92;Pappachan, Yus, Das, Mehrotra, Finin, Joshi. ;Poster ;Mobipedia: Mobile Applications Linked Data
94;Miyazaki, Urakawa, Yamada, Miura, Miyazaki, Fujisawa, Nakagawa. ;Demo ;My Health Dictionary: Study on Web Service using Program Information Data-hub as Linked Open Data
95;Mauri, Calbimonte, Dell'Aglio, Balduini, Della Valle, Aberer. ;Poster ;Where are the RDF Streams?: On Deploying RDF Streams on the Web of Data with TripleWave
96;Belk, Wohlgenannt, Polleres. ;Poster ;Exploring and Exploiting(?) the Awkward Connections Between SKOS and OWL
97;Yus, Mena. ;Poster ;Mobile Endpoints: Accessing Dynamic Information from Mobile Devices
99;Krisnadhi, Hu, Janowicz, Hitzler, Arko, Carbotte, Chandler, Cheatham, Fils, Finin, Ji, Jones, Karima, Lehnert, Mickle, Narock, O'Brien, Raymond, Shepherd, Schildhauer, Wiebe. ;Poster ;The GeoLink Framework for Pattern-based Linked Data Integration
100;Curé, Naacke, Baazizi, Amann.  ;Poster;HAQWA: a Hash-based and Query Workload Aware Distributed RDF Store
101;Dastgheib, Mcskimming, Natarajan, Kochut. ;Demo ;SPARQLing: A Graphical Interface for SPARQL
102;Esteves, Moussallem, Baron Neto, Lehmann, Reis Cavalcanti, Duarte. ;Demo ;Interoperable Machine Learning Metadata using MEX
103;Ruan, Dong, Li, Wang. ;Demo ;KBMetrics - A Multi-purpose tool for Measuring Quality of Linked Open Data Sets
104;Costa, Knorr, Leite. ;Demo ;Querying LUBM with Non-monotonic Features in Protégé using NoHR
105;Sequeda, Miranker. ;Demo;Ultrawrap Mapper: A Semi-Automatic Relational Database to RDF (RDB2RDF) Mapping Tool
106;Aydar, Melton. ;Poster ;Translation of Instance Data using RDF and Structured Mapping Definitions
107;Wang, Feng, Rao, Wang, Zhang. ;Poster ;Updating Direct Graph for Incremental reasoning in OWL 2 QL Ontology
108;Dimou, Kontokostas, Freudenberg, Verborgh, Lehmann, Mannens, Hellmann, Van de Walle. ;Poster ;Test-driven Assessment of [R2]RML Mappings to Improve Dataset Quality
109;Exeler, Waitelonis, Sack.;Poster;Linked Data Annotated Document Retrieval
110;Syed, Han, Rahman, Finin, Kukla, Yun. ;Poster ;Querying Large Linked Data Resources 
111;Mehdi, Khan, Freitas, Alves Chaves, Hasapis, Sahay. ;Demo ;Demonstrating a Linked Data Platform for Finite Element Biosimulations of Cochlear Mechanics
112;Nargesian, Biem, Jain, Parthasarathy, Turaga.;Demo ;SOFIA: An Analytics Recommendation System 
113;Mihindukulasooriya, Poveda-Villalón, García-Castro, Gómez-Pérez. ;Demo ;Loupe - An Online Tool for Inspecting Datasets in the Linked Data Cloud
114;Hassanzadeh, Miller, Nargesian, Zhu. ;Demo ;LinkedCT Live: Platform for Online Curation of Clinical Trials Data 
115;Corsar, Markovic, Gault, Mehdi, Edwards, Nelson, Cottrill, Sripada. ;Demo ;TravelBot: Journey Disruption Alerts Utilising Social Media and Linked Data
117;Liebig, Vialard, Opitz, Metzl. ;Demo ;GraphScale: Adding Expressive Reasoning to Semantic Data Stores
124;Endris, Faisal, Orlandi, Auer, Scerri.;Poster;iRap -- An Interest-Based RDF Update Propagation Framework
126;Di Noia. ;Demo ;LOSM: a SPARQL endpoint to query Open Street Map
