administration;;
administrator;;
assistant-student;;
author;;
in-use-2-chair;http://www.scholarlydata.org/resource/session-chair;http://data.semanticweb.org/conference/iswc/2010/session-in-use-2
in-use-3-chair;http://www.scholarlydata.org/resource/session-chair;http://data.semanticweb.org/conference/iswc/2010/session-in-use-3
in-use-4-chair;http://www.scholarlydata.org/resource/session-chair;http://data.semanticweb.org/conference/iswc/2010/session-in-use-4
in-use-5-chair;http://www.scholarlydata.org/resource/session-chair;http://data.semanticweb.org/conference/iswc/2010/session-in-use-5
in-use-industrial-track-committee-member;http://www.scholarlydata.org/resource/programme-committee-member;in-use
in-use-panel-chair;http://www.scholarlydata.org/resource/panel-chair;http://data.semanticweb.org/conference/iswc/2010/session-in-use-panel
in-use-track-chair;http://www.scholarlydata.org/resource/industry-chair;
in-use-track-committee-member;;
industrial;;
industrial-event-chair;;
industrial-track-chair;;
industry-1-chair;;
industry-2-chair;;
industry-3-chair;;
industry-and-semantic-web-in-use;;
industry-chair;;
industry-committee-member;;
industry-track;;
industry-track-chair;;
iw3c2liaison;;
keynote;;
keynote-1-chair;;
keynote-2-chair;;
keynote-3-chair;;
keynote-presenter;;
keynote-speaker;;
late-breaking-poster-chair;;
local;;
local-arrangement;;
local-arrangements-chair;;
local-chair;;
local-chair-at-ekaw-2012;;
local-coordination;;
local-organiser;;
local-organising-chair;;
local-organising-committee-member;;
local-organization-and-conference-administration;;
local-organizing-committee-member;;
localchair;;
localorganiser;;
localorganisingcommittee;;
meta-data;;
meta-data-chair;;
metadata;;
metadata-chair;;
metadata-chair-at-ekaw-2012;;
metadatachair;;
mining-track-chair;;
mining-track-committee-member;;
monetization-track-chair;;
monetization-track-committee-member;;
network-track-chair;;
network-track-committee-member;;
news-from-front;;
newsfromfront;;
organiser;;
organising-committee-member;;
organisingcommitteemember;;
organization;;
organization-chair;;
organization-co-chair;;
organization-committee-chair;;
organization-staff;;
organizer;;
organizing-institution;;
panel;;
panel_chair1;;
panel-chair;;
panel-moderator;;
panelchair;;
panelist;;
panellist;;
panels-chair;;
panelschair;;
pannellist;;
participant;;
pc;;
pc-member;;
pc-member-at-iswc2005-industrial-track;;
pc-member-at-iswc2005-research-track;;
pc-member-at-iswc2012-doctoral-consortium;;
pc-member-at-iswc2012-evaluation-track;;
pc-member-at-iswc2012-industrial-track;;
pc-member-at-iswc2012-posters-and-demos;;
pc-member-at-iswc2012-research-track;;
pc-member-at-iswc2012-semantic-web-challenge;;
pc-member-at-iswc2012-semantic-web-in-use;;
pc-member-at-iswc2013-evaluation-track;;
pc-member-at-iswc2013-posters-and-demos;;
pc-member-at-iswc2013-research-track;;
pc-member-at-iswc2013-semantic-web-in-use-track;;
pcmember;;
pcmemberrole;;
performance-track-chair;;
performance-track-committee-member;;
phd-chair;;
phd-committee-member;;
phd-symposium-chair;;
phdsymposium;;
phdsymposiumchair;;
planner;;
platinum-sponsor;;
poster;;
poster-and-demo;;
poster-and-demo-chair;;
poster-and-demonstration;;
poster-chair;;
poster-committee-member;;
poster-track-committee-member;;
posteranddemochair;;
posterchair;;
posters-and-demo-chair;;
posters-and-demos-chair;;
posters-chair;;
posterschair;;
presenter;;
proceedings;;
proceedings-chair;;
proceedingschair;;
program;;
program-chair;;
program-chair-at-ekaw-2012;;
program-chairs;;
program-co-s;;
program-committee-chair;;
program-committee-member;;
programme-chair;;
programme-committee-member;;
